versenynev	tipus	esemeny	datum
Hevesy György Országos Kémia Verseny	7-8. évf.	Döntõ	2005.05.27
Német Nyelvi Verseny	7-8. évf.	Döntõ	2005.05.20
Nyelvünkben élünk - magyar nyelvi kommunikációs verseny	7-8. évf.	Döntõ	2005.06.08
Orosz Nyelvi Verseny	7-8. évf.	Döntõ	2005.04.03
Öveges József Fizikaverseny	7-8. évf.	Döntõ	2005.05.20
Simonyi Zsigmond Kárpát-medencei Helyesírási Verseny	7-8. évf.	Döntõ	2005.05.28
Szép Magyar Beszéd - verseny	7-8. évf.	Döntõ	2005.04.08
Teleki Pál Országos Földrajz-Földtan Verseny	7-8. évf.	Döntõ	2005.05.13
Történelem Tantárgyi Verseny	7-8. évf.	Döntõ	2005.04.15
Varga Tamás Országos Matematika Verseny	7-8. évf.	Döntõ	2005.04.07
Zrínyi Ilona Matematikaverseny	7-8. évf.	Döntõ	2005.03.23
Ábel Jenõ Országos Latin Verseny	7-10. évf.	Döntõ	2005.04.23
Bod Péter Könyvtárhasználati Verseny	7-10. évf.	Döntõ	2005.04.29
Curie Környezetvédelmi Emlékverseny	7-10. évf.	Döntõ	2005.05.11
Curie Kémia Emlékverseny	7-10. évf.	Döntõ	2005.05.14
Logo Számítástechnikai Verseny	7-10. évf.	Döntõ	2005.04.23
Nemes Tihamér Országos Számítástechnikai Verseny	7-10. évf.	Döntõ	2005.03.12
Országos Spanyol Nyelvû Vers- és Prózamondó Verseny	7-10. évf.	Döntõ	2005.04.23
Szent király követõi	7-10. évf.	Döntõ	2005.03.29
Arany Dániel Matematikai Verseny (haladó)	9-10. évf.	Döntõ	2005.04.21
Arany Dániel Matematikai Verseny (kezdõ)	9-10. évf.	Döntõ	2005.04.21
Arany János Irodalmi Verseny	9-10. évf.	Döntõ	2005.04.29
Bugát Pál Természetismereti Mûveltségi Vetélkedõ	9-10. évf.	Döntõ	2005.08.24
Édes Anyanyelvünk - országos nyelvhasználati verseny	9-10. évf.	Döntõ	2004.10.14
Európa Állampolgári Vetélkedõ	9-10. évf.	Döntõ	2005.03.12
Implom József Középiskolai Helyesírási Verseny	9-10. évf.	Döntõ	2005.02.25
Irinyi János Országos Középiskolai Kémiaverseny	9-10. évf.	Döntõ	2005.04.29
Kitaibel Pál Biológiai és Környezetvédelmi Verseny	9-10. évf.	Döntõ	2005.04.22
Középiskolások Angol Nyelvi Versenye	9-10. évf.	Döntõ	2005.01.27
Kutató Diákok Országos Diákköri Konferenciája	9-10. évf.	Döntõ	2005.04.05
Lóczy Lajos Országos Földrajz Verseny	9-10. évf.	Döntõ	2005.05.09
Magyarország az én hazám	9-10. évf.	Döntõ	2005.03.12
Mikola Sándor Országos Tehetségkutató Fizikaverseny	9-10. évf.	Döntõ	2005.05.15
Nemzetközi Kenguru Matematikai Verseny	9-10. évf.	Döntõ	2005.03.17
Polgár az Európai Demokráciában	9-10. évf.	Döntõ	2005.04.25
Szép Magyar Beszéd - verseny	9-10. évf.	Döntõ	2005.04.22
Történelem Tantárgyi Verseny	9-10. évf.	Döntõ	2005.01.03
Dr. Árokszállásy Z. Biológia-környezetvédelmi Verseny	vegyes	Döntõ	2005.02.27
Less Nándor Országos Földrajzverseny	vegyes	Döntõ	2005.04.23
Mit ránk hagytak a századok…	vegyes	Döntõ	2005.03.17
Örökségünk’48	vegyes	Döntõ	2005.03.12
Országos Számítástechnikai Levelezõverseny	vegyes	Döntõ	2005.05.14
Országos Szilárd Leó Fizikaverseny	vegyes	Döntõ	2004.09.11
